ФИО автора,название,год издания,количество страниц
Некрасов Виктор Платонович,Идиот,1186,1134
Толстой Алексей Николаевич,Тёмные аллеи,1675,63
Достоевский Фёдор Михайлович,Рядовой Лютиков,1717,114
Булгаков Михаил Афанасьевич,Преступление и наказание,1132,549
Булгаков Михаил Афанасьевич,Собачье сердце,1553,1122
Толстой Алексей Николаевич,Вишнёвый сад,1521,654
Тургенев Иван Сергеевич,Братья Карамазовы,1933,1464
Толстой Лев Николаевич,Идиот,1678,1694
Чехов Антон Павлович,Медный всадник,1559,747
Пушкин Александр Сергеевич,Идиот,1275,1924
Чехов Антон Павлович,Хамелеон,1530,119
Пушкин Александр Сергеевич,Вишнёвый сад,1884,994
Пушкин Александр Сергеевич,Тарас Бульба,1970,1376
Булгаков Михаил Афанасьевич,Пётр Первый,1526,410
Шолохов Михаил Александрович,Тихий Дон,1350,551
Толстой Алексей Николаевич,Война и мир,2009,581
Толстой Алексей Николаевич,Ася,1845,339
Пушкин Александр Сергеевич,Лёгкое дыхание,1318,1168
Бунин Иван Алексеевич,Хождение по мукам,1937,123
Чехов Антон Павлович,Пётр Первый,1672,1682
Достоевский Фёдор Михайлович,Идиот,1656,203
Толстой Алексей Николаевич,Пётр Первый,2005,304
Гоголь Николай Васильевич,Белые ночи,1251,707
Некрасов Николай Алексеевич,Маленькая печальная повесть,1845,995
Толстой Алексей Николаевич,Кому на Руси жить хорошо,1509,1935
Тургенев Иван Сергеевич,Идиот,1188,955
Чехов Антон Павлович,Дом с мезонином,1989,491
Достоевский Фёдор Михайлович,Белые ночи,1891,1760
Некрасов Виктор Платонович,Ревизор,1562,461
Бунин Иван Алексеевич,Детство,1954,1574
Толстой Алексей Николаевич,Антоновские яблоки,1553,171
Некрасов Виктор Платонович,Дама с собачкой,1920,590
Некрасов Николай Алексеевич,Идиот,1522,1517
Некрасов Виктор Платонович,Маленькая печальная повесть,1935,1835
Некрасов Виктор Платонович,Аэлита,1740,1063
Толстой Лев Николаевич,Детство,1676,1083
Достоевский Фёдор Михайлович,Белые ночи,1781,1840
Шолохов Михаил Александрович,Тарас Бульба,1890,1916
Тургенев Иван Сергеевич,Тёмные аллеи,1595,1399
Достоевский Фёдор Михайлович,Ионыч,1845,1371
Тургенев Иван Сергеевич,Белая гвардия,1450,1461
Бунин Иван Алексеевич,Листопад,1569,236
Тургенев Иван Сергеевич,Ревизор,1262,1974
Шолохов Михаил Александрович,Преступление и наказание,1804,1534
Толстой Алексей Николаевич,Аэлита,1634,120
Толстой Алексей Николаевич,Преступление и наказание,1849,1428
Шолохов Михаил Александрович,Антоновские яблоки,2001,1741
Достоевский Фёдор Михайлович,Ревизор,1647,1092
Некрасов Николай Алексеевич,Ионыч,1248,184
Шолохов Михаил Александрович,Вий,1898,996
Булгаков Михаил Афанасьевич,Бесы,1239,1616
Некрасов Николай Алексеевич,Белая гвардия,1112,22
Некрасов Виктор Платонович,Первая любовь,1424,173
Пушкин Александр Сергеевич,Белые ночи,1405,1294
Булгаков Михаил Афанасьевич,Ася,1684,1973
Тургенев Иван Сергеевич,В окопах Сталинграда,1656,168
Достоевский Фёдор Михайлович,Тихий Дон,1451,1505
Некрасов Виктор Платонович,Детство,1367,1803
Некрасов Николай Алексеевич,Тёмные аллеи,1657,95
Тургенев Иван Сергеевич,Отцы и дети,1679,841
Некрасов Николай Алексеевич,Маленькая печальная повесть,1486,1799
Чехов Антон Павлович,Пётр Первый,1696,1836
Бунин Иван Алексеевич,Белая гвардия,1206,241
Чехов Антон Павлович,В окопах Сталинграда,1168,1383
Гоголь Николай Васильевич,Тихий Дон,2012,291
Бунин Иван Алексеевич,Медный всадник,1567,763
Бунин Иван Алексеевич,Листопад,1339,36
Пушкин Александр Сергеевич,Русские женщины,1497,852
Пушкин Александр Сергеевич,Тёмные аллеи,1184,1812
Толстой Лев Николаевич,Крестьянские дети,1450,573
Некрасов Виктор Платонович,Митина любовь,1141,535
Чехов Антон Павлович,Рядовой Лютиков,1932,609
