ФИО автора,название,год издания,количество страниц
Некрасов Виктор Платонович,Первая любовь,1696,157
Достоевский Фёдор Михайлович,Анна Каренина,1366,1227
Чехов Антон Павлович,Воскресение,1249,1410
Шолохов Михаил Александрович,Митина любовь,1917,206
Булгаков Михаил Афанасьевич,Рядовой Лютиков,1126,885
Чехов Антон Павлович,Крестьянские дети,1999,980
Толстой Лев Николаевич,Воскресение,1374,344
Тургенев Иван Сергеевич,Братья Карамазовы,1819,1627
Достоевский Фёдор Михайлович,Маленькая печальная повесть,1578,36
Гоголь Николай Васильевич,Ревизор,2010,1409
Толстой Алексей Николаевич,Ревизор,2011,1690
Некрасов Николай Алексеевич,Донские рассказы,1761,632
Достоевский Фёдор Михайлович,Железная дорога,1975,1359
Бунин Иван Алексеевич,Воскресение,1617,1506
Толстой Алексей Николаевич,Мастер и Маргарита,1102,1706
Булгаков Михаил Афанасьевич,Ионыч,1708,1187
Бунин Иван Алексеевич,Записки охотника,1222,1489
Булгаков Михаил Афанасьевич,Братья Карамазовы,1834,1711
Некрасов Виктор Платонович,В окопах Сталинграда,1576,1505
Гоголь Николай Васильевич,Рядовой Лютиков,1873,709
Гоголь Николай Васильевич,Ревизор,1175,1997
Тургенев Иван Сергеевич,Медный всадник,1963,1179
Бунин Иван Алексеевич,Шинель,1919,1941
Толстой Лев Николаевич,Записки охотника,1898,475
Некрасов Виктор Платонович,Антоновские яблоки,1292,1139
Некрасов Николай Алексеевич,Анна Каренина,1345,1862
Пушкин Александр Сергеевич,Белая гвардия,2009,243
Толстой Лев Николаевич,В окопах Сталинграда,1420,1490
Некрасов Виктор Платонович,Крестьянские дети,1675,1120
Некрасов Николай Алексеевич,Воскресение,1696,885
Толстой Лев Николаевич,Белые ночи,1553,1311
Пушкин Александр Сергеевич,Бесы,1860,401
Толстой Лев Николаевич,Рядовой Лютиков,1419,1276
Толстой Лев Николаевич,Хождение по мукам,1817,576
Толстой Лев Николаевич,Первая любовь,1351,719
Некрасов Николай Алексеевич,Хождение по мукам,1425,575
Бунин Иван Алексеевич,Маленькая печальная повесть,1491,667
Чехов Антон Павлович,Лёгкое дыхание,1244,1820
Некрасов Николай Алексеевич,Пётр Первый,1217,952
Достоевский Фёдор Михайлович,Тарас Бульба,1824,15
Тургенев Иван Сергеевич,Крестьянские дети,1331,1669
Гоголь Николай Васильевич,Анна Каренина,1431,781
Толстой Лев Николаевич,Листопад,1904,322
Гоголь Николай Васильевич,Антоновские яблоки,1321,702
Булгаков Михаил Афанасьевич,Железная дорога,1560,789
Шолохов Михаил Александрович,Железная дорога,1235,680
Булгаков Михаил Афанасьевич,Судьба человека,1204,1070
Чехов Антон Павлович,Белые ночи,1819,1822
Некрасов Николай Алексеевич,Ася,1330,830
Толстой Алексей Николаевич,Ревизор,1494,594
Толстой Алексей Николаевич,Вий,1415,1528
Бунин Иван Алексеевич,Шинель,1664,980
Некрасов Виктор Платонович,Аэлита,1864,1382
Тургенев Иван Сергеевич,Анна Каренина,1292,1273
Достоевский Фёдор Михайлович,Первая любовь,1149,1404
Тургенев Иван Сергеевич,Железная дорога,1100,900
Некрасов Николай Алексеевич,Донские рассказы,1415,141
Пушкин Александр Сергеевич,Морфий,1377,1916
Пушкин Александр Сергеевич,Идиот,1737,478
Бунин Иван Алексеевич,Тёмные аллеи,1695,1954
Толстой Алексей Николаевич,Белые ночи,1371,683
Некрасов Виктор Платонович,Белая гвардия,1411,639
Некрасов Николай Алексеевич,Белая гвардия,1293,1865
Бунин Иван Алексеевич,Маленькая печальная повесть,1968,1130
Тургенев Иван Сергеевич,Антоновские яблоки,1599,1577
Толстой Лев Николаевич,Аэлита,1629,978
Пушкин Александр Сергеевич,Воскресение,1294,772
Некрасов Николай Алексеевич,Донские рассказы,1544,1389
Тургенев Иван Сергеевич,Мастер и Маргарита,1262,1719
Тургенев Иван Сергеевич,Анна Каренина,1710,1582
Толстой Алексей Николаевич,Записки охотника,1384,680
Некрасов Виктор Платонович,Ася,1467,1350
Чехов Антон Павлович,Ионыч,1638,1873
Некрасов Виктор Платонович,Дама с собачкой,1517,1441
Некрасов Николай Алексеевич,Железная дорога,1143,950
Толстой Алексей Николаевич,Ревизор,1108,11
Бунин Иван Алексеевич,Антоновские яблоки,1232,1336
Тургенев Иван Сергеевич,Вишнёвый сад,1357,765
Некрасов Виктор Платонович,Лёгкое дыхание,1128,1685
Пушкин Александр Сергеевич,Тёмные аллеи,1829,96
Толстой Алексей Николаевич,Отцы и дети,1337,1247
Чехов Антон Павлович,Записки охотника,1181,1463
Некрасов Виктор Платонович,Листопад,1346,652
Некрасов Николай Алексеевич,Братья Карамазовы,1654,922
Тургенев Иван Сергеевич,Братья Карамазовы,1939,937
Некрасов Виктор Платонович,Записки охотника,1886,1867
Тургенев Иван Сергеевич,Хождение по мукам,1446,781
Пушкин Александр Сергеевич,Вишнёвый сад,1876,1910
Шолохов Михаил Александрович,Вишнёвый сад,1455,1936
