ФИО автора,название,год издания,количество страниц
Гоголь Николай Васильевич,Воскресение,1802,1787
Достоевский Фёдор Михайлович,Хождение по мукам,1902,386
Достоевский Фёдор Михайлович,Маленькая печальная повесть,1934,1193
Чехов Антон Павлович,Отцы и дети,1849,1083
Пушкин Александр Сергеевич,Морфий,1894,1785
Тургенев Иван Сергеевич,Шинель,1440,209
Некрасов Виктор Платонович,Кому на Руси жить хорошо,1152,1741
Булгаков Михаил Афанасьевич,Идиот,1168,1352
Чехов Антон Павлович,Первая любовь,1418,1583
Толстой Алексей Николаевич,Воскресение,1121,1910
Толстой Лев Николаевич,Русские женщины,1259,1281
Булгаков Михаил Афанасьевич,Рядовой Лютиков,2009,1808
Тургенев Иван Сергеевич,Судьба человека,1982,510
Шолохов Михаил Александрович,Шинель,1919,1517
Бунин Иван Алексеевич,В окопах Сталинграда,1413,975
Некрасов Николай Алексеевич,Маленькая печальная повесть,1787,1207
Достоевский Фёдор Михайлович,Лёгкое дыхание,1768,884
Шолохов Михаил Александрович,Пётр Первый,1658,1250
Некрасов Николай Алексеевич,Вий,1712,1721
Толстой Лев Николаевич,Хождение по мукам,1194,1318
Булгаков Михаил Афанасьевич,Братья Карамазовы,1956,149
Бунин Иван Алексеевич,Маленькая печальная повесть,1945,1010
Некрасов Николай Алексеевич,Мастер и Маргарита,1379,852
Гоголь Николай Васильевич,Отцы и дети,1108,690
Шолохов Михаил Александрович,Тихий Дон,1731,861
Толстой Алексей Николаевич,Братья Карамазовы,1625,1872
Толстой Алексей Николаевич,Донские рассказы,1918,1584
Некрасов Виктор Платонович,Рядовой Лютиков,1790,159
Булгаков Михаил Афанасьевич,Вий,1488,1615
Некрасов Виктор Платонович,Вишнёвый сад,1442,1308
Бунин Иван Алексеевич,Шинель,1138,1638
Шолохов Михаил Александрович,В окопах Сталинграда,1580,1343
Некрасов Виктор Платонович,Записки охотника,1356,1083
Булгаков Михаил Афанасьевич,Первая любовь,1235,1110
Толстой Алексей Николаевич,Ася,1841,1484
Некрасов Виктор Платонович,Преступление и наказание,1870,492
Бунин Иван Алексеевич,Антоновские яблоки,1851,969
Достоевский Фёдор Михайлович,Медный всадник,1607,1448
Некрасов Николай Алексеевич,Ионыч,1988,1278
Некрасов Николай Алексеевич,Аэлита,1504,706
Тургенев Иван Сергеевич,В окопах Сталинграда,1343,1892
Чехов Антон Павлович,Записки охотника,1523,1169
Достоевский Фёдор Михайлович,Собачье сердце,1672,563
Гоголь Николай Васильевич,Братья Карамазовы,1313,1921
Гоголь Николай Васильевич,Собачье сердце,1880,637
Чехов Антон Павлович,Русские женщины,2004,1945
Бунин Иван Алексеевич,Белая гвардия,1263,963
Чехов Антон Павлович,Русские женщины,1826,194
Толстой Лев Николаевич,Ревизор,1821,688
Некрасов Виктор Платонович,Аэлита,1756,486
Толстой Лев Николаевич,Крестьянские дети,1150,1987
Шолохов Михаил Александрович,Ася,1132,1944
Некрасов Виктор Платонович,Собачье сердце,1910,865
Гоголь Николай Васильевич,Дом с мезонином,1390,1396
Булгаков Михаил Афанасьевич,Вий,1751,988
Толстой Алексей Николаевич,Война и мир,1467,746
Шолохов Михаил Александрович,Пётр Первый,1457,195
Булгаков Михаил Афанасьевич,Ася,1949,671
Некрасов Виктор Платонович,Белая гвардия,1935,1502
Бунин Иван Алексеевич,Крестьянские дети,1724,694
Некрасов Николай Алексеевич,Донские рассказы,1267,53
Некрасов Николай Алексеевич,Ася,1651,1611
Достоевский Фёдор Михайлович,Мастер и Маргарита,1402,306
Толстой Алексей Николаевич,Судьба человека,1631,1784
Толстой Алексей Николаевич,Ася,1130,1933
Шолохов Михаил Александрович,Судьба человека,1633,180
Пушкин Александр Сергеевич,Антоновские яблоки,1903,1306
Тургенев Иван Сергеевич,Мастер и Маргарита,1525,20
Шолохов Михаил Александрович,Донские рассказы,1404,1858
Шолохов Михаил Александрович,Крестьянские дети,1840,527
Булгаков Михаил Афанасьевич,Отцы и дети,1147,1725
Толстой Лев Николаевич,Евгений Онегин,1224,1470
Достоевский Фёдор Михайлович,Ася,1855,1237
Чехов Антон Павлович,Братья Карамазовы,1954,187
Достоевский Фёдор Михайлович,Тарас Бульба,1404,1090
Бунин Иван Алексеевич,Вий,1622,676
Толстой Алексей Николаевич,Судьба человека,1885,568
Гоголь Николай Васильевич,Евгений Онегин,1871,1854
Некрасов Виктор Платонович,Антоновские яблоки,1477,1243
Толстой Алексей Николаевич,Дом с мезонином,1108,1863
Чехов Антон Павлович,Антоновские яблоки,1679,619
Чехов Антон Павлович,Аэлита,1731,183
Толстой Лев Николаевич,Собачье сердце,1180,474
Некрасов Виктор Платонович,Дом с мезонином,1505,159
Чехов Антон Павлович,Война и мир,1133,1822
Некрасов Николай Алексеевич,Дама с собачкой,1312,627
Достоевский Фёдор Михайлович,Ася,1937,1840
Пушкин Александр Сергеевич,Тихий Дон,1592,1520
Чехов Антон Павлович,Вий,1931,1851
Бунин Иван Алексеевич,Бесы,1570,442
Достоевский Фёдор Михайлович,Братья Карамазовы,1571,408
Гоголь Николай Васильевич,Дама с собачкой,2007,1803
Достоевский Фёдор Михайлович,Мастер и Маргарита,1812,904
Шолохов Михаил Александрович,Идиот,1924,436
Некрасов Виктор Платонович,Отцы и дети,1901,1260
Некрасов Виктор Платонович,Анна Каренина,1845,632
Булгаков Михаил Афанасьевич,Железная дорога,1418,1715
Шолохов Михаил Александрович,Кому на Руси жить хорошо,1192,219
Достоевский Фёдор Михайлович,Белая гвардия,1902,876
Толстой Лев Николаевич,Аэлита,1854,869
