author,title,year,pages
Тургенев Иван Сергеевич,Бесы,1990,210
Бунин Иван Алексеевич,Лёгкое дыхание,2005,476
Цветаева Марина Ивановна,Лёгкое дыхание,2021,1431
Достоевский Фёдор Михайлович,Русские женщины,2022,789
Горький Максим,Митина любовь,1838,85
Добролюбов Николай Александрович,Первая любовь,1842,876
Толстой Алексей Николаевич,Вишнёвый сад,1975,1407
Тургенев Иван Сергеевич,Тарас Бульба,1922,862
Добролюбов Николай Александрович,Антоновские яблоки,1981,57
Толстой Лев Николаевич,Пётр Первый,1945,1134
Тургенев Иван Сергеевич,Тёмные аллеи,1864,1409
Тургенев Иван Сергеевич,Мертвые души,1935,101
Некрасов Николай Алексеевич,Листопад,1828,1345
Петров Евгений Петрович,Тёмные аллеи,1816,888
Добролюбов Николай Александрович,Донские рассказы,2004,1002
Толстой Лев Николаевич,Ревизор,1939,453
Петров Евгений Петрович,Преступление и наказание,1917,143
Толстой Лев Николаевич,Ионыч,1855,522
Добролюбов Николай Александрович,Вий,2005,1022
Есенин Сергей Александрович,Маленькая печальная повесть,1973,926
Некрасов Николай Алексеевич,Ионыч,1837,149
Толстой Лев Николаевич,Собачье сердце,1863,1114
Стругацкий Борис Натанович,Собачье сердце,1963,468
Лесков Николай Семёнович,Идиот,1847,575
Толстой Лев Николаевич,Судьба человека,1892,803
Грибоедов Александр Сергеевич,Белые ночи,1979,1336
Лесков Николай Семёнович,Ионыч,1900,1226
Есенин Сергей Александрович,Аэлита,2017,898
Добролюбов Николай Александрович,Лёгкое дыхание,1899,1045
Мандельштам Осип Эмильевич,Хождение по мукам,1900,1022
Беляев Александр Романович,Бесы,1937,312
Чернышевский Николай Гаврилович,Отцы и дети,1842,1450
Островский Александр Николаевич,Записки охотника,1944,1047
Чехов Антон Павлович,Тихий Дон,1983,494
Набоков Владимир Владимирович,Вишнёвый сад,1937,405
Есенин Сергей Александрович,Тёмные аллеи,1879,1064
Чехов Антон Павлович,Ревизор,1808,377
Платонов Андрей Платонович,Медный всадник,1856,833
Стругацкий Борис Натанович,Ася,1894,279
Стругацкий Борис Натанович,Маленькая печальная повесть,1869,182
Толстой Алексей Николаевич,Маленькая печальная повесть,1908,931
Толстой Лев Николаевич,Отцы и дети,1932,656
Набоков Владимир Владимирович,Кому на Руси жить хорошо,1810,105
Толстой Лев Николаевич,Вишнёвый сад,1889,251
Чехов Антон Павлович,Записки охотника,1910,972
Лермонтов Михаил Юрьевич,Антоновские яблоки,1882,1291
Пастернак Борис Леонидович,Бесы,1835,452
Петров Евгений Петрович,Листопад,1836,169
Бродский Иосиф Александрович,Хамелеон,1972,1016
Набоков Владимир Владимирович,Война и мир,1983,719
Лесков Николай Семёнович,Хамелеон,1902,504
Ахматова Анна Андреевна,Мастер и Маргарита,1856,212
Толстой Лев Николаевич,Антоновские яблоки,1986,274
Толстой Лев Николаевич,Тарас Бульба,1904,311
Некрасов Николай Алексеевич,В окопах Сталинграда,1875,908
Куприн Александр Иванович,Отцы и дети,1831,1163
Толстой Лев Николаевич,Тёмные аллеи,1884,81
Набоков Владимир Владимирович,Преступление и наказание,1821,1248
Куприн Александр Иванович,Воскресение,1825,1125
Некрасов Виктор Платонович,Мастер и Маргарита,2022,550
Пушкин Александр Сергеевич,Судьба человека,1877,1348
Цветаева Марина Ивановна,Отцы и дети,2020,581
Горький Максим,Хамелеон,2003,904
Маяковский Владимир Владимирович,Белые ночи,1829,636
Шолохов Михаил Александрович,Бесы,1897,86
Платонов Андрей Платонович,Дама с собачкой,1807,656
Чернышевский Николай Гаврилович,Ионыч,1952,869
Блок Александр Александрович,Первая любовь,1859,685
Петров Евгений Петрович,Первая любовь,1908,920
Толстой Лев Николаевич,Хамелеон,1879,1474
Достоевский Фёдор Михайлович,Медный всадник,1956,63
Шолохов Михаил Александрович,Анна Каренина,1916,320
Ильф Илья Арнольдович,Война и мир,1928,1223
Ахматова Анна Андреевна,Вий,2004,615
Цветаева Марина Ивановна,Железная дорога,1987,313
Чернышевский Николай Гаврилович,Митина любовь,1897,1214
Чехов Антон Павлович,Белая гвардия,1970,856
Грибоедов Александр Сергеевич,Война и мир,1871,882
Петров Евгений Петрович,Преступление и наказание,2003,1243
Стругацкий Борис Натанович,Воскресение,1818,755
Бунин Иван Алексеевич,Маленькая печальная повесть,1815,909
Ахматова Анна Андреевна,Пётр Первый,1976,291
Добролюбов Николай Александрович,Рядовой Лютиков,1817,967
Куприн Александр Иванович,Русские женщины,1805,491
Есенин Сергей Александрович,Антоновские яблоки,1992,1081
Толстой Лев Николаевич,Анна Каренина,1884,1075
Гоголь Николай Васильевич,Братья Карамазовы,1806,1149
Пушкин Александр Сергеевич,Детство,1925,804
Стругацкий Борис Натанович,Пётр Первый,2023,293
Есенин Сергей Александрович,Братья Карамазовы,1866,515
Толстой Алексей Николаевич,Первая любовь,1900,835
Пушкин Александр Сергеевич,Тарас Бульба,1976,667
Толстой Алексей Николаевич,Донские рассказы,1907,1248
Островский Александр Николаевич,Железная дорога,1884,778
Стругацкий Аркадий Натанович,Аэлита,1932,492
Беляев Александр Романович,Идиот,1901,609
Тургенев Иван Сергеевич,Донские рассказы,1993,100
Толстой Лев Николаевич,Аэлита,1956,1337
Чернышевский Николай Гаврилович,Вий,1859,591
Петров Евгений Петрович,Морфий,1948,209
