author,title,year,pages
Пастернак Борис Леонидович,Ася,1858,1006
Лесков Николай Семёнович,Медный всадник,1890,1427
Островский Александр Николаевич,Детство,2017,998
Маяковский Владимир Владимирович,Детство,2000,275
Толстой Лев Николаевич,Судьба человека,1978,671
Бунин Иван Алексеевич,Белая гвардия,1908,1343
Островский Александр Николаевич,Митина любовь,1914,1396
Стругацкий Борис Натанович,Дама с собачкой,1907,995
Замятин Евгений Иванович,Вишнёвый сад,1943,557
Мандельштам Осип Эмильевич,Морфий,1982,1003
Добролюбов Николай Александрович,Ася,1989,492
Цветаева Марина Ивановна,Кому на Руси жить хорошо,1824,1119
Бродский Иосиф Александрович,Тарас Бульба,1819,1179
Набоков Владимир Владимирович,Вишнёвый сад,1988,291
Ахматова Анна Андреевна,Ионыч,1923,1189
Платонов Андрей Платонович,Братья Карамазовы,1976,1193
Добролюбов Николай Александрович,Вишнёвый сад,1966,1406
Платонов Андрей Платонович,Идиот,2016,277
Есенин Сергей Александрович,Медный всадник,1883,271
Блок Александр Александрович,Вий,1938,358
Цветаева Марина Ивановна,Евгений Онегин,2003,797
Грин Александр Степанович,Война и мир,1888,450
Стругацкий Аркадий Натанович,Железная дорога,1851,1196
Толстой Лев Николаевич,Тихий Дон,1890,336
Набоков Владимир Владимирович,Ревизор,1963,560
Толстой Алексей Николаевич,Мастер и Маргарита,2016,777
Салтыков-Щедрин Михаил Евграфович,Детство,2023,281
Стругацкий Аркадий Натанович,Вишнёвый сад,1929,426
Набоков Владимир Владимирович,Белые ночи,2024,1306
Грин Александр Степанович,Ионыч,1926,196
Стругацкий Борис Натанович,Митина любовь,2010,865
Беляев Александр Романович,Отцы и дети,1973,1023
Чернышевский Николай Гаврилович,Анна Каренина,1851,479
Платонов Андрей Платонович,Аэлита,1836,868
Есенин Сергей Александрович,Крестьянские дети,1829,1383
Ахматова Анна Андреевна,Тарас Бульба,1861,403
Стругацкий Аркадий Натанович,Хождение по мукам,1877,746
Лесков Николай Семёнович,Крестьянские дети,1983,816
Блок Александр Александрович,Воскресение,1836,579
Гоголь Николай Васильевич,Митина любовь,1835,433
Некрасов Виктор Платонович,Лёгкое дыхание,1800,1233
Толстой Лев Николаевич,Мертвые души,1858,793
Ильф Илья Арнольдович,Белые ночи,1832,115
Добролюбов Николай Александрович,Братья Карамазовы,1919,1350
Цветаева Марина Ивановна,Хамелеон,1850,627
Бродский Иосиф Александрович,Анна Каренина,2009,712
Гоголь Николай Васильевич,Маленькая печальная повесть,1995,531
Ильф Илья Арнольдович,Евгений Онегин,1883,220
Цветаева Марина Ивановна,Война и мир,1961,792
Достоевский Фёдор Михайлович,Листопад,1923,79
Добролюбов Николай Александрович,Маленькая печальная повесть,1803,1061
Достоевский Фёдор Михайлович,Листопад,1917,1454
Добролюбов Николай Александрович,Вий,1838,721
Толстой Алексей Николаевич,Аэлита,1851,880
Лермонтов Михаил Юрьевич,Ионыч,1955,1167
Ильф Илья Арнольдович,Хождение по мукам,1845,584
Толстой Лев Николаевич,Детство,1864,623
Грин Александр Степанович,Русские женщины,1836,355
Салтыков-Щедрин Михаил Евграфович,Детство,1894,1170
Тургенев Иван Сергеевич,Записки охотника,2000,811
Бродский Иосиф Александрович,Пётр Первый,1974,710
Толстой Алексей Николаевич,Лёгкое дыхание,1964,1005
Бунин Иван Алексеевич,Детство,1959,1418
Салтыков-Щедрин Михаил Евграфович,Пётр Первый,1987,1381
Цветаева Марина Ивановна,Детство,1975,1448
Чехов Антон Павлович,Отцы и дети,1822,560
Платонов Андрей Платонович,Донские рассказы,1826,1422
Достоевский Фёдор Михайлович,Отцы и дети,1855,1464
Грибоедов Александр Сергеевич,Донские рассказы,1950,1069
Лермонтов Михаил Юрьевич,Анна Каренина,1962,354
Ильф Илья Арнольдович,Тарас Бульба,1933,766
Островский Александр Николаевич,Вишнёвый сад,1868,1373
Грин Александр Степанович,Пётр Первый,2016,1091
Толстой Лев Николаевич,Братья Карамазовы,1826,1331
Лесков Николай Семёнович,Братья Карамазовы,1960,1246
Чехов Антон Павлович,Белая гвардия,1924,416
Пастернак Борис Леонидович,Ревизор,1818,658
Цветаева Марина Ивановна,Морфий,1855,1129
Набоков Владимир Владимирович,Мертвые души,1996,150
Шолохов Михаил Александрович,Отцы и дети,1822,1035
Толстой Лев Николаевич,Дама с собачкой,1814,942
Петров Евгений Петрович,Донские рассказы,2023,447
Лесков Николай Семёнович,Записки охотника,1960,1239
Набоков Владимир Владимирович,Аэлита,1811,1437
Лермонтов Михаил Юрьевич,Мертвые души,1977,478
Гоголь Николай Васильевич,Крестьянские дети,1916,424
Куприн Александр Иванович,Морфий,1986,258
Толстой Лев Николаевич,Крестьянские дети,1879,490
Толстой Алексей Николаевич,Крестьянские дети,1918,1493
Петров Евгений Петрович,Дом с мезонином,2021,1077
Стругацкий Борис Натанович,Хамелеон,1813,1434
Некрасов Виктор Платонович,Донские рассказы,1968,688
Стругацкий Аркадий Натанович,Вий,1960,1093
Толстой Лев Николаевич,Братья Карамазовы,1800,64
Блок Александр Александрович,Братья Карамазовы,2018,1164
Лермонтов Михаил Юрьевич,Евгений Онегин,1842,213
Лермонтов Михаил Юрьевич,Вий,1881,1256
Лесков Николай Семёнович,Русские женщины,1871,1291
Петров Евгений Петрович,Мастер и Маргарита,1987,609
Петров Евгений Петрович,Белая гвардия,1996,105
Некрасов Николай Алексеевич,Евгений Онегин,1872,1159
Некрасов Николай Алексеевич,Мертвые души,1847,799
Цветаева Марина Ивановна,Первая любовь,1821,338
Бродский Иосиф Александрович,Морфий,1836,965
Лесков Николай Семёнович,Тёмные аллеи,1815,514
Лермонтов Михаил Юрьевич,Анна Каренина,1968,924
Чернышевский Николай Гаврилович,Война и мир,1927,1243
Шолохов Михаил Александрович,Морфий,1964,175
Достоевский Фёдор Михайлович,Донские рассказы,2005,278
Некрасов Николай Алексеевич,Шинель,1858,531
Некрасов Виктор Платонович,Ася,1895,139
Чехов Антон Павлович,Тарас Бульба,1829,960
Толстой Алексей Николаевич,Рядовой Лютиков,1845,191
Замятин Евгений Иванович,Антоновские яблоки,1980,1259
Толстой Лев Николаевич,Мертвые души,1800,737
Беляев Александр Романович,Судьба человека,1866,497
Толстой Лев Николаевич,Тихий Дон,1949,1164
Куприн Александр Иванович,Маленькая печальная повесть,1946,1251
Грин Александр Степанович,Первая любовь,1803,407
Толстой Лев Николаевич,Маленькая печальная повесть,1850,982
Чехов Антон Павлович,Кому на Руси жить хорошо,1973,1096
Толстой Лев Николаевич,Шинель,1903,1431
Толстой Лев Николаевич,Пётр Первый,1968,751
Добролюбов Николай Александрович,Записки охотника,1874,94
Толстой Лев Николаевич,Митина любовь,1824,1459
Цветаева Марина Ивановна,Донские рассказы,1823,243
Чехов Антон Павлович,Записки охотника,1941,73
Гоголь Николай Васильевич,Хамелеон,1960,876
Замятин Евгений Иванович,Мертвые души,2005,227
Толстой Лев Николаевич,Мастер и Маргарита,1964,986
Бунин Иван Алексеевич,Вишнёвый сад,1867,1276
Бродский Иосиф Александрович,Бесы,1849,371
Некрасов Виктор Платонович,Маленькая печальная повесть,1851,666
Набоков Владимир Владимирович,Медный всадник,1984,281
Куприн Александр Иванович,Мастер и Маргарита,1839,1308
Горький Максим,Русские женщины,1858,211
Булгаков Михаил Афанасьевич,Первая любовь,1972,1478
Куприн Александр Иванович,Тихий Дон,1993,1002
Бунин Иван Алексеевич,Пётр Первый,1984,899
Куприн Александр Иванович,Евгений Онегин,1887,62
Куприн Александр Иванович,Пётр Первый,1825,911
Куприн Александр Иванович,Дом с мезонином,1914,419
Беляев Александр Романович,Пётр Первый,1859,1215
Маяковский Владимир Владимирович,Детство,1823,1486
Куприн Александр Иванович,Детство,1843,836
Пушкин Александр Сергеевич,Шинель,1831,729
Пастернак Борис Леонидович,Дама с собачкой,1898,73
Лесков Николай Семёнович,Вий,1812,1191
Лесков Николай Семёнович,Вишнёвый сад,1813,1362
Толстой Лев Николаевич,Анна Каренина,1996,472
Шолохов Михаил Александрович,Белая гвардия,1983,1451
Есенин Сергей Александрович,Антоновские яблоки,1890,186
Петров Евгений Петрович,Отцы и дети,1850,1127
Маяковский Владимир Владимирович,Крестьянские дети,1968,619
Грин Александр Степанович,Ася,1952,545
Лесков Николай Семёнович,Хамелеон,1919,993
Шолохов Михаил Александрович,В окопах Сталинграда,1829,593
Лермонтов Михаил Юрьевич,Белая гвардия,2011,577
Лесков Николай Семёнович,Записки охотника,1850,539
Чернышевский Николай Гаврилович,Евгений Онегин,1918,1280
Ильф Илья Арнольдович,Рядовой Лютиков,2013,148
Толстой Лев Николаевич,Вишнёвый сад,1934,891
Ахматова Анна Андреевна,Аэлита,1886,74
Некрасов Виктор Платонович,Морфий,1865,1019
Стругацкий Аркадий Натанович,Тарас Бульба,1871,596
Булгаков Михаил Афанасьевич,Судьба человека,2019,1041
Маяковский Владимир Владимирович,Бесы,1882,1138
Толстой Лев Николаевич,Собачье сердце,1942,497
Грин Александр Степанович,Белая гвардия,2016,1254
Замятин Евгений Иванович,Дом с мезонином,1970,971
Замятин Евгений Иванович,Детство,1834,817
Тургенев Иван Сергеевич,Мертвые души,1845,1166
Гоголь Николай Васильевич,Мастер и Маргарита,1986,497
Ахматова Анна Андреевна,Собачье сердце,1910,1284
Цветаева Марина Ивановна,Братья Карамазовы,1942,768
Куприн Александр Иванович,Идиот,1866,1022
Блок Александр Александрович,Митина любовь,1818,1015
Замятин Евгений Иванович,Шинель,1848,1199
Толстой Алексей Николаевич,Евгений Онегин,1884,237
Грин Александр Степанович,Детство,1927,1065
Стругацкий Аркадий Натанович,Мастер и Маргарита,1921,921
Горький Максим,Антоновские яблоки,1867,1388
Пушкин Александр Сергеевич,Белые ночи,1917,355
Ильф Илья Арнольдович,Отцы и дети,1877,1172
Мандельштам Осип Эмильевич,Мастер и Маргарита,1807,167
Гоголь Николай Васильевич,Пётр Первый,1851,939
Лермонтов Михаил Юрьевич,Русские женщины,1885,1113
Пушкин Александр Сергеевич,Ася,1906,1318
Чехов Антон Павлович,Дама с собачкой,1958,1008
Толстой Лев Николаевич,Пётр Первый,1869,1069
Шолохов Михаил Александрович,Мертвые души,1999,464
Чернышевский Николай Гаврилович,Маленькая печальная повесть,1886,881
Некрасов Виктор Платонович,Дом с мезонином,1875,1458
Островский Александр Николаевич,Преступление и наказание,1826,1459
Чехов Антон Павлович,Лёгкое дыхание,1860,983
Лесков Николай Семёнович,Отцы и дети,2001,1293
Булгаков Михаил Афанасьевич,Воскресение,1888,1194
Салтыков-Щедрин Михаил Евграфович,Тихий Дон,1928,501
Куприн Александр Иванович,Дом с мезонином,2022,1094
Некрасов Виктор Платонович,Отцы и дети,1921,508
Беляев Александр Романович,Судьба человека,1874,682
Платонов Андрей Платонович,Маленькая печальная повесть,1923,295
Шолохов Михаил Александрович,Идиот,1933,937
Беляев Александр Романович,Медный всадник,2020,207
Толстой Лев Николаевич,Шинель,1851,181
Бунин Иван Алексеевич,Белая гвардия,1984,552
Платонов Андрей Платонович,Тёмные аллеи,1962,1310
Достоевский Фёдор Михайлович,Евгений Онегин,1850,1129
Некрасов Николай Алексеевич,Дама с собачкой,1895,453
Салтыков-Щедрин Михаил Евграфович,Дом с мезонином,1944,116
Толстой Лев Николаевич,Братья Карамазовы,2016,289
Пастернак Борис Леонидович,Крестьянские дети,1840,243
Толстой Алексей Николаевич,Первая любовь,1924,1122
Толстой Лев Николаевич,Белые ночи,1996,224
Толстой Лев Николаевич,Воскресение,1850,190
Есенин Сергей Александрович,Братья Карамазовы,1863,415
Островский Александр Николаевич,Дом с мезонином,1929,99
Толстой Лев Николаевич,Ионыч,1985,1437
Бродский Иосиф Александрович,Записки охотника,1876,67
Достоевский Фёдор Михайлович,Морфий,1901,601
Тургенев Иван Сергеевич,Отцы и дети,1833,1097
Достоевский Фёдор Михайлович,Война и мир,1924,65
Островский Александр Николаевич,Русские женщины,1824,1488
Платонов Андрей Платонович,Хождение по мукам,1890,118
Петров Евгений Петрович,Хождение по мукам,1995,693
Некрасов Виктор Платонович,Братья Карамазовы,1822,545
Замятин Евгений Иванович,Записки охотника,1811,1141
Гоголь Николай Васильевич,Вишнёвый сад,1885,635
Стругацкий Борис Натанович,Вий,1817,1476
Блок Александр Александрович,Русские женщины,2010,1339
Стругацкий Борис Натанович,Ася,1850,209
Толстой Лев Николаевич,Евгений Онегин,1838,481
Грин Александр Степанович,Русские женщины,1880,1003
Толстой Лев Николаевич,Антоновские яблоки,1942,1187
Толстой Лев Николаевич,Аэлита,1845,463
Есенин Сергей Александрович,Медный всадник,1881,1358
Чехов Антон Павлович,Маленькая печальная повесть,2022,1401
Бродский Иосиф Александрович,Русские женщины,1987,1113
Ахматова Анна Андреевна,Хождение по мукам,1827,1208
Островский Александр Николаевич,Рядовой Лютиков,2012,1031
Некрасов Виктор Платонович,Анна Каренина,1903,1316
Бунин Иван Алексеевич,Листопад,1840,292
Чернышевский Николай Гаврилович,Братья Карамазовы,1835,477
Достоевский Фёдор Михайлович,Ионыч,1871,523
Толстой Лев Николаевич,Антоновские яблоки,1823,1224
Толстой Лев Николаевич,Антоновские яблоки,1822,847
Блок Александр Александрович,Антоновские яблоки,1981,1023
Цветаева Марина Ивановна,Шинель,1871,248
Ильф Илья Арнольдович,Лёгкое дыхание,2000,157
Гоголь Николай Васильевич,Мертвые души,1940,646
Пушкин Александр Сергеевич,Дама с собачкой,1976,434
Горький Максим,Морфий,1870,1330
Маяковский Владимир Владимирович,Евгений Онегин,1819,1187
Замятин Евгений Иванович,Медный всадник,1978,807
Маяковский Владимир Владимирович,Морфий,1964,614
Толстой Лев Николаевич,Мастер и Маргарита,1833,130
Лермонтов Михаил Юрьевич,Первая любовь,1885,564
Некрасов Виктор Платонович,Аэлита,1989,416
Маяковский Владимир Владимирович,Преступление и наказание,1967,577
Грин Александр Степанович,Собачье сердце,1951,189
Толстой Лев Николаевич,Белая гвардия,2008,1457
Цветаева Марина Ивановна,Мастер и Маргарита,1984,796
Стругацкий Борис Натанович,Листопад,1841,1500
Толстой Лев Николаевич,Воскресение,1953,96
Стругацкий Борис Натанович,Записки охотника,1904,700
Толстой Алексей Николаевич,Крестьянские дети,1971,415
Лермонтов Михаил Юрьевич,Мертвые души,1858,1128
Куприн Александр Иванович,Собачье сердце,1933,331
Куприн Александр Иванович,Морфий,1992,409
Мандельштам Осип Эмильевич,Листопад,1858,454
Толстой Лев Николаевич,Отцы и дети,1805,332
Маяковский Владимир Владимирович,Бесы,1918,135
Замятин Евгений Иванович,Первая любовь,1984,1091
Чернышевский Николай Гаврилович,Ионыч,1854,1162
Грин Александр Степанович,Детство,1889,1022
Блок Александр Александрович,Железная дорога,1908,1308
Грин Александр Степанович,Воскресение,1993,1204
Грибоедов Александр Сергеевич,Крестьянские дети,1943,829
Стругацкий Аркадий Натанович,Мертвые души,1982,503
Пушкин Александр Сергеевич,Евгений Онегин,1960,420
Ахматова Анна Андреевна,Воскресение,2019,1332
Блок Александр Александрович,Белые ночи,1889,1277
Гоголь Николай Васильевич,Железная дорога,1825,1255
Толстой Лев Николаевич,Детство,1884,795
Добролюбов Николай Александрович,Шинель,1979,104
Горький Максим,Детство,1938,68
Некрасов Николай Алексеевич,Рядовой Лютиков,1803,1046
Набоков Владимир Владимирович,Рядовой Лютиков,1911,855
Достоевский Фёдор Михайлович,Мастер и Маргарита,1927,716
Толстой Лев Николаевич,Медный всадник,1979,1221
Мандельштам Осип Эмильевич,Тарас Бульба,1984,1075
Салтыков-Щедрин Михаил Евграфович,Братья Карамазовы,1850,91
Пушкин Александр Сергеевич,Мастер и Маргарита,1909,914
Пушкин Александр Сергеевич,Хамелеон,1847,826
Замятин Евгений Иванович,Преступление и наказание,1848,795
Ильф Илья Арнольдович,Аэлита,1849,674
Стругацкий Аркадий Натанович,Воскресение,2010,490
Маяковский Владимир Владимирович,Братья Карамазовы,1825,347
Куприн Александр Иванович,Белая гвардия,1882,576
Блок Александр Александрович,Судьба человека,1885,452
Пастернак Борис Леонидович,Листопад,1977,515
Толстой Лев Николаевич,Собачье сердце,1810,493
Салтыков-Щедрин Михаил Евграфович,Преступление и наказание,1995,301
Некрасов Виктор Платонович,Преступление и наказание,1810,142
Чехов Антон Павлович,Вишнёвый сад,1909,258
Лермонтов Михаил Юрьевич,Листопад,1830,1423
Чернышевский Николай Гаврилович,Идиот,1820,1340
Горький Максим,Евгений Онегин,1850,859
Стругацкий Борис Натанович,Рядовой Лютиков,1809,470
Петров Евгений Петрович,Идиот,1815,536
Толстой Лев Николаевич,Железная дорога,2010,84
Ильф Илья Арнольдович,Антоновские яблоки,1996,1143
Блок Александр Александрович,Медный всадник,1812,115
Островский Александр Николаевич,Детство,1884,1330
Шолохов Михаил Александрович,Шинель,1880,406
Блок Александр Александрович,Рядовой Лютиков,1832,551
Тургенев Иван Сергеевич,Тарас Бульба,1905,1368
Платонов Андрей Платонович,Крестьянские дети,2018,694
Бродский Иосиф Александрович,Записки охотника,1900,831
Мандельштам Осип Эмильевич,Евгений Онегин,1813,300
Мандельштам Осип Эмильевич,Ревизор,2023,485
Пастернак Борис Леонидович,Записки охотника,1951,934
Островский Александр Николаевич,Крестьянские дети,1992,1262
Некрасов Виктор Платонович,Вий,1805,1373
Чехов Антон Павлович,Детство,1895,524
Толстой Алексей Николаевич,Хождение по мукам,1944,1065
Бродский Иосиф Александрович,Записки охотника,1903,1468
Горький Максим,Дама с собачкой,1829,191
Шолохов Михаил Александрович,Листопад,1951,687
Добролюбов Николай Александрович,Судьба человека,1877,1108
Толстой Лев Николаевич,Крестьянские дети,1923,913
Ахматова Анна Андреевна,Дама с собачкой,1865,437
Толстой Лев Николаевич,Листопад,2007,900
Некрасов Виктор Платонович,Дом с мезонином,1873,1136
Грибоедов Александр Сергеевич,Евгений Онегин,1845,1049
Бродский Иосиф Александрович,Тихий Дон,1839,737
Лермонтов Михаил Юрьевич,Тарас Бульба,1941,1289
Ильф Илья Арнольдович,Преступление и наказание,2002,1276
Толстой Лев Николаевич,Вишнёвый сад,2003,729
Набоков Владимир Владимирович,Евгений Онегин,1825,1363
Тургенев Иван Сергеевич,Воскресение,1843,891
Замятин Евгений Иванович,Анна Каренина,1905,725
Добролюбов Николай Александрович,Хамелеон,1992,1270
Островский Александр Николаевич,Донские рассказы,1984,295
Шолохов Михаил Александрович,Дом с мезонином,1815,444
Островский Александр Николаевич,Война и мир,1860,608
Мандельштам Осип Эмильевич,Ионыч,1989,1026
Толстой Алексей Николаевич,Листопад,1897,1300
Гоголь Николай Васильевич,Идиот,1827,1236
Чернышевский Николай Гаврилович,Тёмные аллеи,1907,1255
Пастернак Борис Леонидович,Морфий,1893,939
Толстой Лев Николаевич,Собачье сердце,1839,422
Набоков Владимир Владимирович,Воскресение,1983,1319
Грин Александр Степанович,Маленькая печальная повесть,1902,1077
Тургенев Иван Сергеевич,Ионыч,1866,1484
Горький Максим,Тихий Дон,1953,432
Толстой Алексей Николаевич,Собачье сердце,1805,1411
Гоголь Николай Васильевич,Дом с мезонином,1917,522
Блок Александр Александрович,Рядовой Лютиков,1970,130
Толстой Алексей Николаевич,Русские женщины,1916,556
Толстой Лев Николаевич,Лёгкое дыхание,1990,1353
Бунин Иван Алексеевич,Первая любовь,2021,777
Горький Максим,Вий,1830,290
Толстой Лев Николаевич,Белая гвардия,1892,103
Толстой Лев Николаевич,Ионыч,1925,84
Ильф Илья Арнольдович,Анна Каренина,1941,1182
Толстой Алексей Николаевич,Мертвые души,1850,1006
Платонов Андрей Платонович,Антоновские яблоки,1867,275
Булгаков Михаил Афанасьевич,Митина любовь,1969,1372
Ильф Илья Арнольдович,Тёмные аллеи,1863,1377
Толстой Лев Николаевич,Хождение по мукам,1855,441
Некрасов Николай Алексеевич,Судьба человека,1887,1111
Пушкин Александр Сергеевич,Отцы и дети,1845,1177
Горький Максим,Белые ночи,1828,946
Гоголь Николай Васильевич,Ася,1910,380
Бродский Иосиф Александрович,Дом с мезонином,1929,852
Толстой Лев Николаевич,Белые ночи,1842,81
Толстой Лев Николаевич,Ревизор,1917,706
Стругацкий Борис Натанович,Записки охотника,1902,727
Лермонтов Михаил Юрьевич,Первая любовь,1938,1257
Толстой Лев Николаевич,Тихий Дон,1858,986
Толстой Лев Николаевич,Братья Карамазовы,1928,326
Булгаков Михаил Афанасьевич,Дом с мезонином,1800,848
Маяковский Владимир Владимирович,Детство,2022,1127
Маяковский Владимир Владимирович,Мертвые души,1935,218
Чехов Антон Павлович,Вий,1984,760
Есенин Сергей Александрович,Русские женщины,1836,603
Достоевский Фёдор Михайлович,Ионыч,1863,555
Толстой Лев Николаевич,Морфий,1836,1089
Добролюбов Николай Александрович,Тарас Бульба,1917,354
Блок Александр Александрович,Записки охотника,1805,1151
Лесков Николай Семёнович,Аэлита,1846,190
Блок Александр Александрович,Дама с собачкой,1885,582
Лесков Николай Семёнович,Хождение по мукам,1924,1458
Блок Александр Александрович,Хождение по мукам,1867,67
Толстой Лев Николаевич,Железная дорога,1800,481
Островский Александр Николаевич,Медный всадник,1944,259
Тургенев Иван Сергеевич,Дом с мезонином,1804,1460
Беляев Александр Романович,Анна Каренина,1897,978
Куприн Александр Иванович,Судьба человека,1983,860
Замятин Евгений Иванович,Мастер и Маргарита,1975,1243
Достоевский Фёдор Михайлович,Собачье сердце,2018,1262
Пушкин Александр Сергеевич,Судьба человека,1939,431
Некрасов Николай Алексеевич,Идиот,1919,953
Салтыков-Щедрин Михаил Евграфович,Братья Карамазовы,1981,1479
Булгаков Михаил Афанасьевич,Ася,1975,1298
Салтыков-Щедрин Михаил Евграфович,Идиот,1843,1260
Толстой Лев Николаевич,Белые ночи,2009,1281
Пастернак Борис Леонидович,Шинель,2025,1417
Островский Александр Николаевич,Донские рассказы,1804,465
Бродский Иосиф Александрович,Шинель,1908,328
Блок Александр Александрович,Вишнёвый сад,1984,743
Платонов Андрей Платонович,Ионыч,1972,1101
Некрасов Виктор Платонович,Ионыч,1924,158
Бунин Иван Алексеевич,В окопах Сталинграда,2005,1094
Шолохов Михаил Александрович,Крестьянские дети,1952,1170
Лермонтов Михаил Юрьевич,Ася,1939,242
Достоевский Фёдор Михайлович,Антоновские яблоки,1989,738
Есенин Сергей Александрович,Вий,1889,1403
Островский Александр Николаевич,Рядовой Лютиков,1935,453
Беляев Александр Романович,Первая любовь,2014,147
Толстой Лев Николаевич,В окопах Сталинграда,1877,1383
Ильф Илья Арнольдович,Рядовой Лютиков,1890,1003
Маяковский Владимир Владимирович,Железная дорога,1836,513
Салтыков-Щедрин Михаил Евграфович,Ионыч,1896,644
Ильф Илья Арнольдович,Мастер и Маргарита,1980,985
Петров Евгений Петрович,Митина любовь,1820,967
Грин Александр Степанович,Белые ночи,1941,924
Гоголь Николай Васильевич,Белая гвардия,2005,645
Пушкин Александр Сергеевич,Белые ночи,2012,1375
Грин Александр Степанович,Война и мир,1829,860
Грин Александр Степанович,Вий,1955,598
Грин Александр Степанович,Железная дорога,1990,844
Блок Александр Александрович,Шинель,1884,898
Набоков Владимир Владимирович,Судьба человека,1899,947
Петров Евгений Петрович,Мастер и Маргарита,1905,70
Толстой Лев Николаевич,Медный всадник,1806,1174
Чехов Антон Павлович,Морфий,1905,1216
Чернышевский Николай Гаврилович,Собачье сердце,1842,1313
Петров Евгений Петрович,Русские женщины,1845,1285
Цветаева Марина Ивановна,В окопах Сталинграда,1920,553
Чернышевский Николай Гаврилович,Маленькая печальная повесть,1879,560
