author,title,year,pages
Пушкин Александр Сергеевич,Мертвые души,1848,1233
Блок Александр Александрович,Лёгкое дыхание,1918,50
Островский Александр Николаевич,Дама с собачкой,1890,574
Толстой Лев Николаевич,Ревизор,1814,631
Есенин Сергей Александрович,Вий,1948,156
Тургенев Иван Сергеевич,Тихий Дон,2025,736
Лермонтов Михаил Юрьевич,Кому на Руси жить хорошо,2017,71
Маяковский Владимир Владимирович,Кому на Руси жить хорошо,1876,428
Лесков Николай Семёнович,В окопах Сталинграда,1982,301
Стругацкий Аркадий Натанович,Вишнёвый сад,1854,790
Набоков Владимир Владимирович,Митина любовь,1872,631
Грибоедов Александр Сергеевич,Мертвые души,1839,161
Куприн Александр Иванович,Ревизор,1997,1049
Булгаков Михаил Афанасьевич,Вишнёвый сад,1907,334
Беляев Александр Романович,Мертвые души,1869,327
Толстой Лев Николаевич,Вишнёвый сад,1854,1164
Салтыков-Щедрин Михаил Евграфович,Хождение по мукам,1839,150
Булгаков Михаил Афанасьевич,Детство,1892,412
Набоков Владимир Владимирович,Медный всадник,1866,1304
Стругацкий Аркадий Натанович,Аэлита,1840,96
Добролюбов Николай Александрович,Ревизор,1998,1071
Петров Евгений Петрович,Митина любовь,1911,900
Замятин Евгений Иванович,Донские рассказы,1885,1176
Достоевский Фёдор Михайлович,Белые ночи,1833,1165
Мандельштам Осип Эмильевич,Ионыч,1972,109
Толстой Лев Николаевич,Русские женщины,2019,716
Лесков Николай Семёнович,Мастер и Маргарита,1894,412
Грибоедов Александр Сергеевич,Братья Карамазовы,1987,360
Чехов Антон Павлович,Преступление и наказание,1871,1087
Лермонтов Михаил Юрьевич,Русские женщины,1880,1084
Бунин Иван Алексеевич,Лёгкое дыхание,1955,200
Петров Евгений Петрович,Хождение по мукам,1936,1273
Ильф Илья Арнольдович,Дом с мезонином,1836,1491
Пушкин Александр Сергеевич,Рядовой Лютиков,1970,880
Цветаева Марина Ивановна,Судьба человека,1903,1043
Толстой Лев Николаевич,Преступление и наказание,2009,859
Цветаева Марина Ивановна,Медный всадник,1813,224
Островский Александр Николаевич,Хамелеон,2010,911
Гоголь Николай Васильевич,Мастер и Маргарита,1860,1198
Пастернак Борис Леонидович,Анна Каренина,2015,966
Есенин Сергей Александрович,Шинель,2010,145
Горький Максим,В окопах Сталинграда,1900,1119
Стругацкий Аркадий Натанович,Тихий Дон,1938,1100
