author,title,year,pages
Некрасов Виктор Платонович,Медный всадник,1864,602
Гоголь Николай Васильевич,Судьба человека,1928,987
Петров Евгений Петрович,Антоновские яблоки,1954,56
Стругацкий Аркадий Натанович,Ревизор,1857,805
Набоков Владимир Владимирович,Медный всадник,1843,1333
Замятин Евгений Иванович,Первая любовь,1889,652
Тургенев Иван Сергеевич,Вий,1940,213
Пушкин Александр Сергеевич,Ревизор,1969,725
Толстой Лев Николаевич,Преступление и наказание,2015,509
Стругацкий Борис Натанович,Мастер и Маргарита,1923,520
Маяковский Владимир Владимирович,Тарас Бульба,1969,1423
Грибоедов Александр Сергеевич,Ревизор,1964,1246
Лермонтов Михаил Юрьевич,Вий,2014,544
Толстой Лев Николаевич,Антоновские яблоки,1921,289
Толстой Лев Николаевич,Записки охотника,1984,951
Набоков Владимир Владимирович,Митина любовь,1904,1302
Стругацкий Аркадий Натанович,Тихий Дон,1961,814
Пушкин Александр Сергеевич,Воскресение,1958,1194
Бунин Иван Алексеевич,Медный всадник,1848,1286
Лермонтов Михаил Юрьевич,Хамелеон,1976,860
Есенин Сергей Александрович,Мертвые души,1923,426
Замятин Евгений Иванович,Шинель,1828,193
Петров Евгений Петрович,Детство,1875,118
Ахматова Анна Андреевна,Собачье сердце,1891,1298
Блок Александр Александрович,Маленькая печальная повесть,1808,65
Мандельштам Осип Эмильевич,Медный всадник,1934,1305
Толстой Лев Николаевич,Шинель,1921,1139
Бродский Иосиф Александрович,Отцы и дети,1887,165
Куприн Александр Иванович,Преступление и наказание,2007,374
Маяковский Владимир Владимирович,Первая любовь,1882,951
Беляев Александр Романович,Антоновские яблоки,2010,573
Гоголь Николай Васильевич,Белая гвардия,1856,116
Стругацкий Аркадий Натанович,Шинель,1945,240
Толстой Лев Николаевич,Братья Карамазовы,1953,483
Петров Евгений Петрович,Железная дорога,1853,313
Ахматова Анна Андреевна,Русские женщины,1834,1285
Чернышевский Николай Гаврилович,Шинель,1923,63
Пастернак Борис Леонидович,Листопад,1973,704
Тургенев Иван Сергеевич,Записки охотника,1815,1184
Бунин Иван Алексеевич,Бесы,1930,238
Беляев Александр Романович,Дом с мезонином,1867,987
Шолохов Михаил Александрович,Первая любовь,2011,814
Платонов Андрей Платонович,Кому на Руси жить хорошо,1801,812
Грибоедов Александр Сергеевич,Дама с собачкой,1925,540
Цветаева Марина Ивановна,Судьба человека,2024,1149
Бродский Иосиф Александрович,Первая любовь,1965,942
Лермонтов Михаил Юрьевич,Дом с мезонином,1978,493
Толстой Лев Николаевич,Тёмные аллеи,1814,888
Набоков Владимир Владимирович,Лёгкое дыхание,1919,1046
Лесков Николай Семёнович,Ася,1955,1397
Платонов Андрей Платонович,Шинель,1893,444
Грибоедов Александр Сергеевич,Пётр Первый,2023,1014
Толстой Алексей Николаевич,Бесы,1918,1135
Толстой Лев Николаевич,Первая любовь,1975,1304
Гоголь Николай Васильевич,Маленькая печальная повесть,1976,1340
Лесков Николай Семёнович,Маленькая печальная повесть,1847,1238
Лесков Николай Семёнович,Мертвые души,1836,1459
Чернышевский Николай Гаврилович,Вишнёвый сад,1801,971
Толстой Лев Николаевич,Ася,1993,100
Лесков Николай Семёнович,Дама с собачкой,1885,81
Островский Александр Николаевич,Дама с собачкой,1893,1144
Чернышевский Николай Гаврилович,Ионыч,1801,837
Островский Александр Николаевич,Маленькая печальная повесть,1876,830
Ахматова Анна Андреевна,Дама с собачкой,1880,365
Салтыков-Щедрин Михаил Евграфович,Вишнёвый сад,1943,592
Цветаева Марина Ивановна,Рядовой Лютиков,1883,350
Стругацкий Борис Натанович,Отцы и дети,2012,384
Шолохов Михаил Александрович,Бесы,1851,1058
Грибоедов Александр Сергеевич,В окопах Сталинграда,2003,248
Пастернак Борис Леонидович,Рядовой Лютиков,1863,52
Беляев Александр Романович,Идиот,1871,322
Некрасов Виктор Платонович,Тёмные аллеи,1871,74
Некрасов Виктор Платонович,Хамелеон,1901,721
Мандельштам Осип Эмильевич,Первая любовь,1890,383
Стругацкий Аркадий Натанович,В окопах Сталинграда,1967,414
Грин Александр Степанович,Первая любовь,1879,934
Толстой Лев Николаевич,Железная дорога,2000,1331
Толстой Лев Николаевич,Идиот,1913,606
Толстой Лев Николаевич,Дама с собачкой,1927,1414
Грибоедов Александр Сергеевич,Железная дорога,1901,1499
Некрасов Виктор Платонович,Митина любовь,1971,426
Мандельштам Осип Эмильевич,Война и мир,1933,497
Толстой Лев Николаевич,Железная дорога,1841,332
Блок Александр Александрович,Мастер и Маргарита,1868,977
Толстой Лев Николаевич,В окопах Сталинграда,1845,1040
Стругацкий Борис Натанович,Война и мир,1843,417
Толстой Лев Николаевич,Ионыч,1868,313
Толстой Лев Николаевич,Листопад,1806,1259
Шолохов Михаил Александрович,Собачье сердце,1926,1298
Некрасов Николай Алексеевич,Шинель,1926,964
Бродский Иосиф Александрович,Записки охотника,1994,1410
Гоголь Николай Васильевич,Братья Карамазовы,1845,1324
Некрасов Виктор Платонович,Мастер и Маргарита,1870,73
Достоевский Фёдор Михайлович,Антоновские яблоки,1887,327
