ФИО автора,название,год издания,количество страниц
Толстой Лев Николаевич,Листопад,2020,108
Чехов Антон Павлович,Первая любовь,1879,1820
Гоголь Николай Васильевич,Кому на Руси жить хорошо,1363,1543
Шолохов Михаил Александрович,Идиот,1344,722
Тургенев Иван Сергеевич,Преступление и наказание,1793,929
Толстой Алексей Николаевич,Лёгкое дыхание,1620,1103
Тургенев Иван Сергеевич,Антоновские яблоки,1717,1283
Некрасов Николай Алексеевич,Анна Каренина,1179,1734
Достоевский Фёдор Михайлович,Анна Каренина,1991,1542
Шолохов Михаил Александрович,Аэлита,1799,1668
Толстой Лев Николаевич,Русские женщины,1934,923
Тургенев Иван Сергеевич,Мертвые души,1140,100
Некрасов Николай Алексеевич,Бесы,1857,1229
Достоевский Фёдор Михайлович,Медный всадник,1120,1229
Булгаков Михаил Афанасьевич,Хождение по мукам,1682,1426
Гоголь Николай Васильевич,Анна Каренина,2010,902
Некрасов Николай Алексеевич,Антоновские яблоки,1905,529
Гоголь Николай Васильевич,Хождение по мукам,1345,113
Чехов Антон Павлович,Рядовой Лютиков,1359,1975
Чехов Антон Павлович,Мертвые души,1153,1542
Толстой Лев Николаевич,Первая любовь,1989,1700
Чехов Антон Павлович,Анна Каренина,1566,1543
Шолохов Михаил Александрович,Ионыч,1112,1322
Толстой Лев Николаевич,Рядовой Лютиков,1580,1062
Некрасов Виктор Платонович,Мастер и Маргарита,1300,519
Некрасов Виктор Платонович,Преступление и наказание,1272,1117
Достоевский Фёдор Михайлович,Белые ночи,1445,996
Толстой Лев Николаевич,Дама с собачкой,1567,359
Шолохов Михаил Александрович,Братья Карамазовы,1763,1906
Некрасов Николай Алексеевич,Хамелеон,1103,461
Достоевский Фёдор Михайлович,Морфий,1294,1175
Пушкин Александр Сергеевич,Евгений Онегин,1793,1450
Достоевский Фёдор Михайлович,Вий,1339,173
Шолохов Михаил Александрович,Рядовой Лютиков,1181,1320
Некрасов Николай Алексеевич,Медный всадник,1732,1910
Шолохов Михаил Александрович,Дом с мезонином,2019,772
Толстой Алексей Николаевич,Аэлита,1369,1877
Некрасов Николай Алексеевич,Митина любовь,1188,1177
Булгаков Михаил Афанасьевич,Евгений Онегин,1379,1110
Тургенев Иван Сергеевич,Рядовой Лютиков,1505,450
