ФИО автора,название,год издания,количество страниц
Пушкин Александр Сергеевич,Белые ночи,1641,1581
Некрасов Николай Алексеевич,Железная дорога,1510,223
Булгаков Михаил Афанасьевич,Лёгкое дыхание,1164,1266
Достоевский Фёдор Михайлович,Аэлита,1237,1112
Шолохов Михаил Александрович,Дом с мезонином,1892,813
Пушкин Александр Сергеевич,Митина любовь,1200,373
Достоевский Фёдор Михайлович,Медный всадник,1666,852
Достоевский Фёдор Михайлович,Преступление и наказание,1999,453
Булгаков Михаил Афанасьевич,Рядовой Лютиков,1890,1956
Некрасов Николай Алексеевич,Идиот,1851,196
Тургенев Иван Сергеевич,Собачье сердце,1206,749
Тургенев Иван Сергеевич,Вий,1417,847
Булгаков Михаил Афанасьевич,Железная дорога,1543,500
Толстой Лев Николаевич,Вий,1898,759
Булгаков Михаил Афанасьевич,Отцы и дети,1590,550
Гоголь Николай Васильевич,Хождение по мукам,1365,602
Толстой Лев Николаевич,Листопад,1997,1081
Гоголь Николай Васильевич,Железная дорога,1132,1247
Некрасов Николай Алексеевич,Дом с мезонином,1870,1507
Пушкин Александр Сергеевич,Вишнёвый сад,1517,1891
Толстой Лев Николаевич,Собачье сердце,1434,1733
Тургенев Иван Сергеевич,Детство,1639,847
Шолохов Михаил Александрович,Рядовой Лютиков,1362,446
Достоевский Фёдор Михайлович,Война и мир,1816,1418
Достоевский Фёдор Михайлович,Тарас Бульба,1115,1583
Толстой Алексей Николаевич,Отцы и дети,1236,31
Некрасов Николай Алексеевич,Донские рассказы,1784,720
Тургенев Иван Сергеевич,Рядовой Лютиков,1419,802
Толстой Лев Николаевич,Кому на Руси жить хорошо,1388,630
Толстой Алексей Николаевич,Анна Каренина,1454,820
Чехов Антон Павлович,Евгений Онегин,1323,293
Чехов Антон Павлович,Тёмные аллеи,1439,440
Бунин Иван Алексеевич,Мертвые души,1854,1683
Бунин Иван Алексеевич,Ася,1994,1746
Гоголь Николай Васильевич,Донские рассказы,1369,1514
Бунин Иван Алексеевич,Братья Карамазовы,1911,1303
Шолохов Михаил Александрович,Ионыч,1493,1548
Тургенев Иван Сергеевич,Вишнёвый сад,1755,734
Пушкин Александр Сергеевич,Лёгкое дыхание,1563,1261
